group_id;x0;y0;z0;x2;y2;z2;z1
01zu02;548033.7;5514550.3;337.2;548238.5;5514405.3;311.6;291.2
02zu03;548238.5;5514405.3;311.6;548461.1;5514273.9;252.8;229.5
03zu04;548461.1;5514273.9;252.8;548658.1;5514161.3;292.3;250.2
04zu05;548658.1;5514161.3;292.3;548866.9;5514003.5;324.6;299.7
05zu06;548866.9;5514003.5;324.6;548809.9;5513738.7;324.4;307.4
